Key,Value,Bytes,Stored?,Time to store,Retrieved Value,Retrieved Bytes,Time to get,Correct Key-Value?
test#1,This test should fail due to the special character in the name,62,"NOT STORED
",0.4811713695526123,An error occurred when parsing server return,Error has Occurred,0.6018524169921875,False
test 2,This test should fail due to the space in the name,50,"Unable to process command 
",0.0017371177673339844,An error occurred when parsing server return,Error has Occurred,0.0004961490631103516,False
test3 ,This test should fail due to the space in the name,50,"Unable to process command 
",0.0,An error occurred when parsing server return,process,0.0005006790161132812,False
longtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtest,This test should fail due to the length of the string,53,"NOT STORED
",0.029896974563598633,An error occurred when parsing server return,process,0.0,False
force62,9 how ,6,"NOT STORED
",0.26822376251220703,END ,FOUND,0.14986157417297363,False
force9build,space zipper 0 ,15,"STORED
",0.24348020553588867,9 how ,6,0.21636009216308594,False
02force,limping zipper exuberant willing application 2 birth jelly application ,71,"STORED
",0.21237468719482422,limping zipper exuberant willing application 2 birth jelly application ,71,0.12236213684082031,True
suit,credit jelly hello network 2 6 exuberant birth suit whisper ,60,"NOT STORED
",0.01281428337097168,messy willing crowded exuberant 4 build 2 exuberant let crowded 7 ,66,0.3194308280944824,False
areimprinthow,are ,4,"STORED
",0.0025010108947753906,END ,FOUND,0.04362130165100098,False
jellyimprint,keyboard 4 3 keyboard space credit network limping force network let willing ,77,"NOT STORED
",0.5904433727264404,space zipper 0 ,15,0.06950187683105469,False
messyvoyageexuberant,space zipper 9 build birth program crowded 5 shape network gaming ,66,"STORED
",0.0307159423828125,keyboard 4 3 keyboard space credit network limping force network let willing ,77,0.40767931938171387,False
are,gaming gaming monitor voyage crowded birth gaming keyboard program ,67,"STORED
",0.030364036560058594,are ,4,0.0833137035369873,False
messy4,4 present ,10,"STORED
",0.267993688583374,space zipper 9 build birth program crowded 5 shape network gaming ,66,0.2469329833984375,False
youjavascript,credit limping voyage hello evaporate willing program 3 0 program imprint willing 3 9 ,86,"STORED
",0.21296262741088867,credit limping voyage hello evaporate willing program 3 0 program imprint willing 3 9 ,86,0.34398508071899414,True
javascript,let 2 limping present 1 present exuberant zipper 5 shape 3 force program ,73,"NOT STORED
",0.0333561897277832,imprint javascript you birth 3 how voyage ,42,0.006330251693725586,False
imprint,build 1 messy shape you limping build voyage evaporate 6 javascript ,68,"STORED
",0.05391979217529297,jelly evaporate keyboard imprint present 5 3 voyage hello 1 ,60,0.1537168025970459,False
force,gaming you ,11,"NOT STORED
",0.18457245826721191,4 present ,10,0.21564722061157227,False
